Question_Type,Answer_Type,Topic_Number,Variation,Question,Correct_Answer_1,Correct_Answer_2,Correct_Answer_3,Correct_Answer_4,Wrong_Answer_1,Wrong_Answer_2,Wrong_Answer_3,Time_in_seconds,Difficulty_Level,Question_IAV,ContributorMail,Solution_text,Solution_IAV
text,1,30102,3,"If Pooja has $26$  sheets, Aakash has $54$  sheets, Akanksha has $108$  sheets and Rohit has $52$  sheets.
Which two pairs will form an equation?
","(Pooja , Aakash) and (Akanksha , Rohit)",,,,"(Pooja , Akanksha) and (Aakash , Rohit)","(Pooja , Rohit) and (Aakash , Akanksha)","(Pooja , Rohit) and (Aakash , Gautami)",60,3,,,"Since, it is given that the weights of Pooja, Aakash, Akanksha and Rohit
are $26$, $54$, $108$ and $52$ respectively
Now, $\dfrac{26}{54} = 0.48$
Also, $\dfrac{52}{108} = 0.48$
=> $\dfrac{26}{54} = \dfrac{52}{108}$
=> L.H.S = R.H.S
As we know that,
An Equation is a mathematical statement consisting of an equal symbol between two expressions having the same value.
Therefore, according to the question,
The two pairs which will form an equation are : Pooja and Aakash , Akanksha and Rohit
",
text,1,30102,3,"If Gautami has $32$  Watermelons, Suyash has $52$  Watermelons, Aarav has $64$  Watermelons and Vedang has $104$  Watermelons.
Which two pairs will form an equation?
","(Gautami , Suyash) and (Aarav , Vedang)",,,,"(Gautami , Aarav) and (Suyash , Vedang)","(Gautami , Vedang) and (Suyash , Aarav)","(Gautami , Vedang) and (Suyash , Ankita)",60,3,,,"Since, it is given that the weights of Gautami, Suyash, Aarav and Vedang
are $32$, $52$, $64$ and $104$ respectively
Now, $\dfrac{32}{52} = 0.62$
Also, $\dfrac{64}{104} = 0.62$
=> $\dfrac{32}{52} = \dfrac{64}{104}$
=> L.H.S = R.H.S
As we know that,
An Equation is a mathematical statement consisting of an equal symbol between two expressions having the same value.
Therefore, according to the question,
The two pairs which will form an equation are : Gautami and Suyash , Aarav and Vedang
",
text,1,30102,3,"If Ishika has $46$  chocolates, Devang has $52$  chocolates, Ninad has $104$  chocolates and Siddhesh has $92$  chocolates.
Which two pairs will form an equation?
","(Ishika , Devang) and (Ninad , Siddhesh)",,,,"(Ishika , Ninad) and (Devang , Siddhesh)","(Ishika , Siddhesh) and (Devang , Ninad)","(Ishika , Siddhesh) and (Devang , Kshitij)",60,3,,,"Since, it is given that the weights of Ishika, Devang, Ninad and Siddhesh
are $46$, $52$, $104$ and $92$ respectively
Now, $\dfrac{46}{52} = 0.88$
Also, $\dfrac{92}{104} = 0.88$
=> $\dfrac{46}{52} = \dfrac{92}{104}$
=> L.H.S = R.H.S
As we know that,
An Equation is a mathematical statement consisting of an equal symbol between two expressions having the same value.
Therefore, according to the question,
The two pairs which will form an equation are : Ishika and Devang , Ninad and Siddhesh
",
text,1,30102,3,"If Neha has $32$  toys, Manish has $42$  toys, Shivani has $64$  toys and Darshan has $84$  toys.
Which two pairs will form an equation?
","(Neha , Manish) and (Shivani , Darshan)",,,,"(Neha , Shivani) and (Manish , Darshan)","(Neha , Darshan) and (Manish , Shivani)","(Neha , Darshan) and (Manish , Shruti)",60,3,,,"Since, it is given that the weights of Neha, Manish, Shivani and Darshan
are $32$, $42$, $64$ and $84$ respectively
Now, $\dfrac{32}{42} = 0.76$
Also, $\dfrac{64}{84} = 0.76$
=> $\dfrac{32}{42} = \dfrac{64}{84}$
=> L.H.S = R.H.S
As we know that,
An Equation is a mathematical statement consisting of an equal symbol between two expressions having the same value.
Therefore, according to the question,
The two pairs which will form an equation are : Neha and Manish , Shivani and Darshan
",
text,1,30102,3,"If Yash weighs $52$ Kg and Sanket weighs $34$ Kg, Vedang weighs $68$ Kg and Chaitrali weighs $104$ Kg.
Which two pairs will form an equation?
","(Yash , Sanket) and (Vedang , Chaitrali)",,,,"(Yash , Vedang) and (Sanket , Chaitrali)","(Yash , Chaitrali) and (Sanket , Vedang)","(Yash , Chaitrali) and (Sanket , Aadesh)",60,3,,,"Since, it is given that the weights of Yash, Sanket, Vedang and Chaitrali
are $52$, $34$, $68$ and $104$ respectively
Now, $\dfrac{52}{34} = 1.53$
Also, $\dfrac{104}{68} = 1.53$
=> $\dfrac{52}{34} = \dfrac{104}{68}$
=> L.H.S = R.H.S
As we know that,
An Equation is a mathematical statement consisting of an equal symbol between two expressions having the same value.
Therefore, according to the question,
The two pairs which will form an equation are : Yash and Sanket , Vedang and Chaitrali
",
text,1,30102,3,"If Tushar weighs $50$ Kg and Vinay weighs $44$ Kg, Aruni weighs $100$ Kg and Siddhesh weighs $88$ Kg.
Which two pairs will form an equation?
","(Tushar , Vinay) and (Aruni , Siddhesh)",,,,"(Tushar , Aruni) and (Vinay , Siddhesh)","(Tushar , Siddhesh) and (Vinay , Aruni)","(Tushar , Siddhesh) and (Vinay , Yash)",60,3,,,"Since, it is given that the weights of Tushar, Vinay, Aruni and Siddhesh
are $50$, $44$, $100$ and $88$ respectively
Now, $\dfrac{50}{44} = 1.14$
Also, $\dfrac{100}{88} = 1.14$
=> $\dfrac{50}{44} = \dfrac{100}{88}$
=> L.H.S = R.H.S
As we know that,
An Equation is a mathematical statement consisting of an equal symbol between two expressions having the same value.
Therefore, according to the question,
The two pairs which will form an equation are : Tushar and Vinay , Aruni and Siddhesh
",
text,1,30102,3,"If Anmol weighs $40$ Kg and Kalyani weighs $50$ Kg, Manali weighs $80$ Kg and Tushar weighs $100$ Kg.
Which two pairs will form an equation?
","(Anmol , Kalyani) and (Manali , Tushar)",,,,"(Anmol , Manali) and (Kalyani , Tushar)","(Anmol , Tushar) and (Kalyani , Manali)","(Anmol , Tushar) and (Kalyani , Isha)",60,3,,,"Since, it is given that the weights of Anmol, Kalyani, Manali and Tushar
are $40$, $50$, $80$ and $100$ respectively
Now, $\dfrac{40}{50} = 0.80$
Also, $\dfrac{80}{100} = 0.80$
=> $\dfrac{40}{50} = \dfrac{80}{100}$
=> L.H.S = R.H.S
As we know that,
An Equation is a mathematical statement consisting of an equal symbol between two expressions having the same value.
Therefore, according to the question,
The two pairs which will form an equation are : Anmol and Kalyani , Manali and Tushar
",
text,1,30102,3,"If Prathamesh weighs $72$ Kg and Ankita weighs $36$ Kg, Manali weighs $64$ Kg and Rahul weighs $32$ Kg.
Which two pairs will form an equation?
","(Prathamesh , Ankita) and (Manali , Rahul)",,,,"(Prathamesh , Manali) and (Ankita , Rahul)","(Prathamesh , Rahul) and (Ankita , Manali)","(Prathamesh , Rahul) and (Ankita , Akanksha)",60,3,,,"Since, it is given that the weights of Prathamesh, Ankita, Manali and Rahul
are $72$, $36$, $64$ and $32$ respectively
Now, $\dfrac{72}{36} = 2.00$
Also, $\dfrac{64}{32} = 2.00$
=> $\dfrac{72}{36} = \dfrac{64}{32}$
=> L.H.S = R.H.S
As we know that,
An Equation is a mathematical statement consisting of an equal symbol between two expressions having the same value.
Therefore, according to the question,
The two pairs which will form an equation are : Prathamesh and Ankita , Manali and Rahul
",
text,1,30102,3,"If Gautami weighs $44$ Kg and Aditi weighs $26$ Kg, Vedang weighs $88$ Kg and Sandesh weighs $52$ Kg.
Which two pairs will form an equation?
","(Gautami , Aditi) and (Vedang , Sandesh)",,,,"(Gautami , Vedang) and (Aditi , Sandesh)","(Gautami , Sandesh) and (Aditi , Vedang)","(Gautami , Sandesh) and (Aditi , Tushar)",60,3,,,"Since, it is given that the weights of Gautami, Aditi, Vedang and Sandesh
are $44$, $26$, $88$ and $52$ respectively
Now, $\dfrac{44}{26} = 1.69$
Also, $\dfrac{88}{52} = 1.69$
=> $\dfrac{44}{26} = \dfrac{88}{52}$
=> L.H.S = R.H.S
As we know that,
An Equation is a mathematical statement consisting of an equal symbol between two expressions having the same value.
Therefore, according to the question,
The two pairs which will form an equation are : Gautami and Aditi , Vedang and Sandesh
",
text,1,30102,3,"If Aadesh weighs $72$ Kg and Siddhesh weighs $36$ Kg, Vedang weighs $92$ Kg and Ankita weighs $46$ Kg.
Which two pairs will form an equation?
","(Aadesh , Siddhesh) and (Vedang , Ankita)",,,,"(Aadesh , Vedang) and (Siddhesh , Ankita)","(Aadesh , Ankita) and (Siddhesh , Vedang)","(Aadesh , Ankita) and (Siddhesh , Aditi)",60,3,,,"Since, it is given that the weights of Aadesh, Siddhesh, Vedang and Ankita
are $72$, $36$, $92$ and $46$ respectively
Now, $\dfrac{72}{36} = 2.00$
Also, $\dfrac{92}{46} = 2.00$
=> $\dfrac{72}{36} = \dfrac{92}{46}$
=> L.H.S = R.H.S
As we know that,
An Equation is a mathematical statement consisting of an equal symbol between two expressions having the same value.
Therefore, according to the question,
The two pairs which will form an equation are : Aadesh and Siddhesh , Vedang and Ankita
",
