Question_Type,Answer_Type,Topic_Number,Variation,Question,Correct_Answer_1,Correct_Answer_2,Correct_Answer_3,Correct_Answer_4,Wrong_Answer_1,Wrong_Answer_2,Wrong_Answer_3,Time_in_seconds,Difficulty_Level,Question_IAV,ContributorMail,Solution_text,Solution_IAV
text,1,30101,1,Which of the following is an equation ?,$17y - 28 = 21$,,,,$6p > 24$,$26 + 10 < 36$,$x / 27$,60,3,,,"Solution:Equation can be defined as a mathematical statement 
in which two expressions are set equal to each otherIn option => $$17y - 28 = 21$$=> $y$ is the variable and $17$$y$ is the variable term=> $28$ and $21$ are the constant terms",
text,1,30101,1,Which of the following is an equation ?,$15x / 17 = 26$,,,,$13p < 19$,$26 + 12 > 38$,$x + 20$,60,3,,,"Solution:Equation can be defined as a mathematical statement 
in which two expressions are set equal to each otherIn option => $$15x / 17 = 26$$=> $x$ is the variable and $15$$x$ is the variable term=> $17$ and $26$ are the constant terms",
text,1,30101,1,Which of the following is an equation ?,$20c / 19 = 25$,,,,$8p > 25$,$29 * 10 > 290$,$x / 7$,60,3,,,"Solution:Equation can be defined as a mathematical statement 
in which two expressions are set equal to each otherIn option => $$20c / 19 = 25$$=> $c$ is the variable and $20$$c$ is the variable term=> $19$ and $25$ are the constant terms",
text,1,30101,1,Which of the following is an equation ?,$18b * 30 = 16$,,,,$27p < 26$,$19 - 2 > 17$,$x * 29$,60,3,,,"Solution:Equation can be defined as a mathematical statement 
in which two expressions are set equal to each otherIn option => $$18b * 30 = 16$$=> $b$ is the variable and $18$$b$ is the variable term=> $30$ and $16$ are the constant terms",
text,1,30101,1,Which of the following is an equation ?,$26b * 5 = 24$,,,,$10p < 26$,$16 * 9 < 144$,$x + 7$,60,3,,,"Solution:Equation can be defined as a mathematical statement 
in which two expressions are set equal to each otherIn option => $$26b * 5 = 24$$=> $b$ is the variable and $26$$b$ is the variable term=> $5$ and $24$ are the constant terms",
text,1,30101,1,Which of the following is an equation ?,$4z / 17 = 15$,,,,$17p < 27$,$16 * 5 > 80$,$x / 16$,60,3,,,"Solution:Equation can be defined as a mathematical statement 
in which two expressions are set equal to each otherIn option => $$4z / 17 = 15$$=> $z$ is the variable and $4$$z$ is the variable term=> $17$ and $15$ are the constant terms",
text,1,30101,1,Which of the following is an equation ?,$7a + 11 = 22$,,,,$2p > 26$,$22 - 1 < 21$,$x + 22$,60,3,,,"Solution:Equation can be defined as a mathematical statement 
in which two expressions are set equal to each otherIn option => $$7a + 11 = 22$$=> $a$ is the variable and $7$$a$ is the variable term=> $11$ and $22$ are the constant terms",
text,1,30101,1,Which of the following is an equation ?,$22b - 25 = 20$,,,,$14p > 23$,$32 / 8 < 4.0$,$x * 22$,60,3,,,"Solution:Equation can be defined as a mathematical statement 
in which two expressions are set equal to each otherIn option => $$22b - 25 = 20$$=> $b$ is the variable and $22$$b$ is the variable term=> $25$ and $20$ are the constant terms",
text,1,30101,1,Which of the following is an equation ?,$6a / 23 = 15$,,,,$21p > 24$,$13 * 11 > 143$,$x - 23$,60,3,,,"Solution:Equation can be defined as a mathematical statement 
in which two expressions are set equal to each otherIn option => $$6a / 23 = 15$$=> $a$ is the variable and $6$$a$ is the variable term=> $23$ and $15$ are the constant terms",
text,1,30101,1,Which of the following is an equation ?,$18y / 8 = 23$,,,,$25p < 20$,$22 + 4 > 26$,$x - 9$,60,3,,,"Solution:Equation can be defined as a mathematical statement 
in which two expressions are set equal to each otherIn option => $$18y / 8 = 23$$=> $y$ is the variable and $18$$y$ is the variable term=> $8$ and $23$ are the constant terms",
