Question_Type,Answer_Type,Topic_Number,Variation,Question,Correct_Answer_1,Correct_Answer_2,Correct_Answer_3,Correct_Answer_4,Wrong_Answer_1,Wrong_Answer_2,Wrong_Answer_3,Time_in_seconds,Difficulty_Level,Question_IAV,ContributorMail,Solution_text,Solution_IAV
text,Text,30202,1,Shusma lost 14 bags now Shusma has 33 bags. Select the correct statement from below to solve for $x$.,$ x - 14 + 14 = 33 + 14 $,,,,$ x - 14 - 14 = 33 - 14 $,$ (x - 14) \times 14 = 33 \times 14 $,$ (x - 14) \div 14 = 33 \div 14 $,60,3,,,Let the initial number of items be $x$.<br>Since 14 items were lost we can write that as $x - 14$<br>Since 33 items are now left we can write the equation as $x - 14 = 33$<br>Add 14 on both sides<br>We get the equation as $x - 14 + 14 = 33 + 14$,
text,Text,30202,1,"Aditya spent 31 days travling, now Aditya has 24 days left. Select the correct statement from below to solve for $x$.",$ x - 31 + 31 = 24 + 31 $,,,,$ x - 31 - 31 = 24 - 31 $,$ (x - 31) \times 31 = 24 \times 31 $,$ (x - 31) \div 31 = 24 \div 31 $,60,3,,,Let the initial time be $x$.<br>Since 31 days were spent we can write the equation as $x - 31$<br>Since 24 days are left we can write the equation as $x - 31 = 24$<br>Adding 31 on both sides<br>We get the equation as $x - 31 + 31 = 24 + 31$,
text,Text,30202,1,"Mary spent 36 hours Shopping, now Mary has 8 hours left. Select the correct statement from below to solve for $x$.",$ x - 36 + 36 = 8 + 36 $,,,,$ x - 36 - 36 = 8 - 36 $,$ (x - 36) \times 36 = 8 \times 36 $,$ (x - 36) \div 36 = 8 \div 36 $,60,3,,,Let the initial time be $x$.<br>Since 36 Hours were spent we can write the equation as $x - 36$<br>Since 8 Hours are left we can write the equation as $x - 36 = 8$<br>Adding 36 on both sides<br>We get the equation as $x - 36 + 36 = 8 + 36$,
text,Text,30202,1,"Sita spent 16 months camping, now Sita has 12 months left. Select the correct statement from below to solve for $x$.",$ x - 16 + 16 = 12 + 16 $,,,,$ x - 16 - 16 = 12 - 16 $,$ (x - 16) \times 16 = 12 \times 16 $,$ (x - 16) \div 16 = 12 \div 16 $,60,3,,,Let the initial time be $x$.<br>Since 16 months were spent we can write the equation as $x - 16$<br>Since 12 months are left we can write the equation as $x - 16 = 12$<br>Adding 16 on both sides<br>We get the equation as $x - 16 + 16 = 12 + 16$,
text,Text,30202,1,"Shanti lent 2 laptops to Sita, now Shanti has 25 laptops. Select the correct statement from below to solve for $x$.",$ x - 2 + 2 = 25 + 2 $,,,,$ x - 2 - 2 = 25 - 2 $,$ (x - 2) \times 2 = 25 \times 2 $,$ (x - 2) \div 2 = 25 \div 2 $,60,3,,,Let the initial number of items be $x$.<br>Since 2 items were lent we can write that as $x - 2$<br>Since 25 items are now left we can write the equation as $x - 2 = 25$<br>Add 2 on both sides<br>We get the equation as $x - 2 + 2 = 25 + 2$,
text,Text,30202,1,"Thomas lent 15 pencils to kabir, now Thomas has 27 pencils. Select the correct statement from below to solve for $x$.",$ x - 15 + 15 = 27 + 15 $,,,,$ x - 15 - 15 = 27 - 15 $,$ (x - 15) \times 15 = 27 \times 15 $,$ (x - 15) \div 15 = 27 \div 15 $,60,3,,,Let the initial number of items be $x$.<br>Since 15 items were lent we can write that as $x - 15$<br>Since 27 items are now left we can write the equation as $x - 15 = 27$<br>Add 15 on both sides<br>We get the equation as $x - 15 + 15 = 27 + 15$,
text,Text,30202,1,"Mary lent 25 pens to Nidhi, now Mary has 9 pens. Select the correct statement from below to solve for $x$.",$ x - 25 + 25 = 9 + 25 $,,,,$ x - 25 - 25 = 9 - 25 $,$ (x - 25) \times 25 = 9 \times 25 $,$ (x - 25) \div 25 = 9 \div 25 $,60,3,,,Let the initial number of items be $x$.<br>Since 25 items were lent we can write that as $x - 25$<br>Since 9 items are now left we can write the equation as $x - 25 = 9$<br>Add 25 on both sides<br>We get the equation as $x - 25 + 25 = 9 + 25$,
text,Text,30202,1,Arujun lost 24 pages now Arujun has 8 pages. Select the correct statement from below to solve for $x$.,$ x - 24 + 24 = 8 + 24 $,,,,$ x - 24 - 24 = 8 - 24 $,$ (x - 24) \times 24 = 8 \times 24 $,$ (x - 24) \div 24 = 8 \div 24 $,60,3,,,Let the initial number of items be $x$.<br>Since 24 items were lost we can write that as $x - 24$<br>Since 8 items are now left we can write the equation as $x - 24 = 8$<br>Add 24 on both sides<br>We get the equation as $x - 24 + 24 = 8 + 24$,
text,Text,30202,1,"Sristi gave 29 tickets to Shusma, now Sristi has 43 tickets. Select the correct statement from below to solve for $x$.",$ x - 29 + 29 = 43 + 29 $,,,,$ x - 29 - 29 = 43 - 29 $,$ (x - 29) \times 29 = 43 \times 29 $,$ (x - 29) \div 29 = 43 \div 29 $,60,3,,,Let the initial number of items be $x$.<br>Since 29 items were given we can write that as $x - 29$<br>Since 43 items are now left we can write the equation as $x - 29 = 43$<br>Add 29 on both sides<br>We get the equation as $x - 29 + 29 = 43 + 29$,
text,Text,30202,1,"Shusma lent 47 suits to Ali, now Shusma has 8 suits. Select the correct statement from below to solve for $x$.",$ x - 47 + 47 = 8 + 47 $,,,,$ x - 47 - 47 = 8 - 47 $,$ (x - 47) \times 47 = 8 \times 47 $,$ (x - 47) \div 47 = 8 \div 47 $,60,3,,,Let the initial number of items be $x$.<br>Since 47 items were lent we can write that as $x - 47$<br>Since 8 items are now left we can write the equation as $x - 47 = 8$<br>Add 47 on both sides<br>We get the equation as $x - 47 + 47 = 8 + 47$,
