Question_Type,Answer_Type,Topic_Number,Variation,Question,Correct_Answer_1,Correct_Answer_2,Correct_Answer_3,Correct_Answer_4,Wrong_Answer_1,Wrong_Answer_2,Wrong_Answer_3,Time_in_seconds,Difficulty_Level,Question_IAV,ContributorMail,Solution_text,Solution_IAV
text,1,30203,3,"Isha and Soham have a total of 92 pencils.If Isha has 12pencilsless than Soham, how many pencils does each one have?
",Soham has 52 pencils and Isha has 40 pencils,,,,Soham has 27 pencils and Isha has 65 pencils,Soham has 50 pencils and Isha has 38 pencils,Soham has 40 pencils and Isha has 52 pencils,60,3,,,"let Soham has $x$ pencils.
    <br/>Since, Isha has $12$ less pencils than Soham
        <br/>Therefore, Isha will have $x$-$12$ pencils.
    <br/>Since, Soham and Isha have a total of 92 pencils    
        <br/>=> $x+(x-12)=92$  
        <br/>=> $x+x-12=92$    
        <br/>=> $2x-12=92$<br/>=> $2x=92+12$
<br/>Dividing both the sides by 2
<br/>=> $x=\dfrac{104}{2}$
<br/>=> $x=52$
<br/>=> $x-12=52-12=40$
<br/>Hence, Soham has $52$ pencils and Isha has $40$ pencils ",
text,1,30203,3,"Rahul and Shivani have a total of 54 sheets.If Shivani has 14sheetsless than Rahul, how many sheets does each one have?
",Rahul has 34 sheets and Shivani has 20 sheets,,,,Rahul has 31 sheets and Shivani has 23 sheets,Rahul has 28 sheets and Shivani has 14 sheets,Rahul has 20 sheets and Shivani has 34 sheets,60,3,,,"let Rahul has $x$ sheets.
    <br/>Since, Shivani has $14$ less sheets than Rahul
        <br/>Therefore, Shivani will have $x$-$14$ sheets.
    <br/>Since, Rahul and Shivani have a total of 54 sheets    
        <br/>=> $x+(x-14)=54$  
        <br/>=> $x+x-14=54$    
        <br/>=> $2x-14=54$<br/>=> $2x=54+14$
<br/>Dividing both the sides by 2
<br/>=> $x=\dfrac{68}{2}$
<br/>=> $x=34$
<br/>=> $x-14=34-14=20$
<br/>Hence, Rahul has $34$ sheets and Shivani has $20$ sheets ",
text,1,30203,3,"Anmol and Utkarsh have a total of 70 books.If Anmol has 18booksless than Utkarsh, how many books does each one have?
",Utkarsh has 44 books and Anmol has 26 books,,,,Utkarsh has 37 books and Anmol has 33 books,Utkarsh has 24 books and Anmol has 6 books,Utkarsh has 26 books and Anmol has 44 books,60,3,,,"let Utkarsh has $x$ books.
    <br/>Since, Anmol has $18$ less books than Utkarsh
        <br/>Therefore, Anmol will have $x$-$18$ books.
    <br/>Since, Utkarsh and Anmol have a total of 70 books    
        <br/>=> $x+(x-18)=70$  
        <br/>=> $x+x-18=70$    
        <br/>=> $2x-18=70$<br/>=> $2x=70+18$
<br/>Dividing both the sides by 2
<br/>=> $x=\dfrac{88}{2}$
<br/>=> $x=44$
<br/>=> $x-18=44-18=26$
<br/>Hence, Utkarsh has $44$ books and Anmol has $26$ books ",
text,1,30203,3,"Dhriti and Ninad have a total of 60 books.If Ninad has 16booksless than Dhriti, how many books does each one have?
",Dhriti has 38 books and Ninad has 22 books,,,,Dhriti has 26 books and Ninad has 34 books,Dhriti has 44 books and Ninad has 28 books,Dhriti has 22 books and Ninad has 38 books,60,3,,,"let Dhriti has $x$ books.
    <br/>Since, Ninad has $16$ less books than Dhriti
        <br/>Therefore, Ninad will have $x$-$16$ books.
    <br/>Since, Dhriti and Ninad have a total of 60 books    
        <br/>=> $x+(x-16)=60$  
        <br/>=> $x+x-16=60$    
        <br/>=> $2x-16=60$<br/>=> $2x=60+16$
<br/>Dividing both the sides by 2
<br/>=> $x=\dfrac{76}{2}$
<br/>=> $x=38$
<br/>=> $x-16=38-16=22$
<br/>Hence, Dhriti has $38$ books and Ninad has $22$ books ",
text,1,30203,3,"Om and Prathamesh have a total of 62 toys.If Om has 14toysless than Prathamesh, how many toys does each one have?
",Prathamesh has 38 toys and Om has 24 toys,,,,Prathamesh has 39 toys and Om has 23 toys,Prathamesh has 42 toys and Om has 28 toys,Prathamesh has 24 toys and Om has 38 toys,60,3,,,"let Prathamesh has $x$ toys.
    <br/>Since, Om has $14$ less toys than Prathamesh
        <br/>Therefore, Om will have $x$-$14$ toys.
    <br/>Since, Prathamesh and Om have a total of 62 toys    
        <br/>=> $x+(x-14)=62$  
        <br/>=> $x+x-14=62$    
        <br/>=> $2x-14=62$<br/>=> $2x=62+14$
<br/>Dividing both the sides by 2
<br/>=> $x=\dfrac{76}{2}$
<br/>=> $x=38$
<br/>=> $x-14=38-14=24$
<br/>Hence, Prathamesh has $38$ toys and Om has $24$ toys ",
text,1,30203,3,"Tejas and Atharva have a total of 76 Apples.If Tejas has 20Applesless than Atharva, how many Apples does each one have?
",Atharva has 48 Apples and Tejas has 28 Apples,,,,Atharva has 36 Apples and Tejas has 40 Apples,Atharva has 49 Apples and Tejas has 29 Apples,Atharva has 28 Apples and Tejas has 48 Apples,60,3,,,"let Atharva has $x$ Apples.
    <br/>Since, Tejas has $20$ less Apples than Atharva
        <br/>Therefore, Tejas will have $x$-$20$ Apples.
    <br/>Since, Atharva and Tejas have a total of 76 Apples    
        <br/>=> $x+(x-20)=76$  
        <br/>=> $x+x-20=76$    
        <br/>=> $2x-20=76$<br/>=> $2x=76+20$
<br/>Dividing both the sides by 2
<br/>=> $x=\dfrac{96}{2}$
<br/>=> $x=48$
<br/>=> $x-20=48-20=28$
<br/>Hence, Atharva has $48$ Apples and Tejas has $28$ Apples ",
text,1,30203,3,"Mihir and Gayatri have a total of 78 Jackets.If Gayatri has 4Jacketsless than Mihir, how many Jackets does each one have?
",Mihir has 41 Jackets and Gayatri has 37 Jackets,,,,Mihir has 36 Jackets and Gayatri has 42 Jackets,Mihir has 28 Jackets and Gayatri has 24 Jackets,Mihir has 37 Jackets and Gayatri has 41 Jackets,60,3,,,"let Mihir has $x$ Jackets.
    <br/>Since, Gayatri has $4$ less Jackets than Mihir
        <br/>Therefore, Gayatri will have $x$-$4$ Jackets.
    <br/>Since, Mihir and Gayatri have a total of 78 Jackets    
        <br/>=> $x+(x-4)=78$  
        <br/>=> $x+x-4=78$    
        <br/>=> $2x-4=78$<br/>=> $2x=78+4$
<br/>Dividing both the sides by 2
<br/>=> $x=\dfrac{82}{2}$
<br/>=> $x=41$
<br/>=> $x-4=41-4=37$
<br/>Hence, Mihir has $41$ Jackets and Gayatri has $37$ Jackets ",
text,1,30203,3,"Maithili and Smital have a total of 50 pants.If Smital has 20pantsless than Maithili, how many pants does each one have?
",Maithili has 35 pants and Smital has 15 pants,,,,Maithili has 36 pants and Smital has 14 pants,Maithili has 43 pants and Smital has 23 pants,Maithili has 15 pants and Smital has 35 pants,60,3,,,"let Maithili has $x$ pants.
    <br/>Since, Smital has $20$ less pants than Maithili
        <br/>Therefore, Smital will have $x$-$20$ pants.
    <br/>Since, Maithili and Smital have a total of 50 pants    
        <br/>=> $x+(x-20)=50$  
        <br/>=> $x+x-20=50$    
        <br/>=> $2x-20=50$<br/>=> $2x=50+20$
<br/>Dividing both the sides by 2
<br/>=> $x=\dfrac{70}{2}$
<br/>=> $x=35$
<br/>=> $x-20=35-20=15$
<br/>Hence, Maithili has $35$ pants and Smital has $15$ pants ",
text,1,30203,3,"Ishika and Soham have a total of 98 Apples.If Soham has 6Applesless than Ishika, how many Apples does each one have?
",Ishika has 52 Apples and Soham has 46 Apples,,,,Ishika has 31 Apples and Soham has 67 Apples,Ishika has 26 Apples and Soham has 20 Apples,Ishika has 46 Apples and Soham has 52 Apples,60,3,,,"let Ishika has $x$ Apples.
    <br/>Since, Soham has $6$ less Apples than Ishika
        <br/>Therefore, Soham will have $x$-$6$ Apples.
    <br/>Since, Ishika and Soham have a total of 98 Apples    
        <br/>=> $x+(x-6)=98$  
        <br/>=> $x+x-6=98$    
        <br/>=> $2x-6=98$<br/>=> $2x=98+6$
<br/>Dividing both the sides by 2
<br/>=> $x=\dfrac{104}{2}$
<br/>=> $x=52$
<br/>=> $x-6=52-6=46$
<br/>Hence, Ishika has $52$ Apples and Soham has $46$ Apples ",
text,1,30203,3,"Gauravi and Anuja have a total of 100 Cookies.If Gauravi has 10Cookiesless than Anuja, how many Cookies does each one have?
",Anuja has 55 Cookies and Gauravi has 45 Cookies,,,,Anuja has 35 Cookies and Gauravi has 65 Cookies,Anuja has 35 Cookies and Gauravi has 25 Cookies,Anuja has 45 Cookies and Gauravi has 55 Cookies,60,3,,,"let Anuja has $x$ Cookies.
    <br/>Since, Gauravi has $10$ less Cookies than Anuja
        <br/>Therefore, Gauravi will have $x$-$10$ Cookies.
    <br/>Since, Anuja and Gauravi have a total of 100 Cookies    
        <br/>=> $x+(x-10)=100$  
        <br/>=> $x+x-10=100$    
        <br/>=> $2x-10=100$<br/>=> $2x=100+10$
<br/>Dividing both the sides by 2
<br/>=> $x=\dfrac{110}{2}$
<br/>=> $x=55$
<br/>=> $x-10=55-10=45$
<br/>Hence, Anuja has $55$ Cookies and Gauravi has $45$ Cookies ",
