Question_Type,Answer_Type,Topic_Number,Variation,Question,Correct_Answer_1,Correct_Answer_2,Correct_Answer_3,Correct_Answer_4,Wrong_Answer_1,Wrong_Answer_2,Wrong_Answer_3,Time_in_seconds,Difficulty_Level,Question_IAV,ContributorMail,Solution_text,Solution_IAV
image,text,30102,4,Does the following weight-balance form an equation?,Yes,,,,No,,,60,3,images/030102_W_140_60_200.png,,Since the LHS(Left hand side) of the balance is equal to 140 + 60 and the weight on RHS(Right hand side) is equal to 200. The correct option is Yes,
image,text,30102,4,Does the following weight-balance form an equation?,No,,,,Yes,,,60,3,images/030102_W_150_20_180.png,,Since the LHS(Left hand side) of the balance is equal to 150 + 20 and the weight on RHS(Right hand side) is equal to 180. The correct option is No,
image,text,30102,4,Does the following weight-balance form an equation?,No,,,,Yes,,,60,3,images/030102_W_150_30_190.png,,Since the LHS(Left hand side) of the balance is equal to 150 + 30 and the weight on RHS(Right hand side) is equal to 190. The correct option is No,
image,text,30102,4,Does the following weight-balance form an equation?,Yes,,,,No,,,60,3,images/030102_W_140_40_180.png,,Since the LHS(Left hand side) of the balance is equal to 140 + 40 and the weight on RHS(Right hand side) is equal to 180. The correct option is Yes,
image,text,30102,4,Does the following weight-balance form an equation?,Yes,,,,No,,,60,3,images/030102_W_210_10_220.png,,Since the LHS(Left hand side) of the balance is equal to 210 + 10 and the weight on RHS(Right hand side) is equal to 220. The correct option is Yes,
image,text,30102,4,Does the following weight-balance form an equation?,Yes,,,,No,,,60,3,images/030102_W_230_100_330.png,,Since the LHS(Left hand side) of the balance is equal to 230 + 100 and the weight on RHS(Right hand side) is equal to 330. The correct option is Yes,
image,text,30102,4,Does the following weight-balance form an equation?,Yes,,,,No,,,60,3,images/030102_W_130_40_170.png,,Since the LHS(Left hand side) of the balance is equal to 130 + 40 and the weight on RHS(Right hand side) is equal to 170. The correct option is Yes,
image,text,30102,4,Does the following weight-balance form an equation?,Yes,,,,No,,,60,3,images/030102_W_180_10_190.png,,Since the LHS(Left hand side) of the balance is equal to 180 + 10 and the weight on RHS(Right hand side) is equal to 190. The correct option is Yes,
image,text,30102,4,Does the following weight-balance form an equation?,Yes,,,,No,,,60,3,images/030102_W_210_10_220.png,,Since the LHS(Left hand side) of the balance is equal to 210 + 10 and the weight on RHS(Right hand side) is equal to 220. The correct option is Yes,
image,text,30102,4,Does the following weight-balance form an equation?,No,,,,Yes,,,60,3,images/030102_W_250_60_320.png,,Since the LHS(Left hand side) of the balance is equal to 250 + 60 and the weight on RHS(Right hand side) is equal to 320. The correct option is No,
image,text,30102,4,Does the following weight-balance form an equation?,No,,,,Yes,,,60,3,images/030102_W_160_90_240.png,,Since the LHS(Left hand side) of the balance is equal to 160 + 90 and the weight on RHS(Right hand side) is equal to 240. The correct option is No,
image,text,30102,4,Does the following weight-balance form an equation?,No,,,,Yes,,,60,3,images/030102_W_230_90_330.png,,Since the LHS(Left hand side) of the balance is equal to 230 + 90 and the weight on RHS(Right hand side) is equal to 330. The correct option is No,
image,text,30102,4,Does the following weight-balance form an equation?,No,,,,Yes,,,60,3,images/030102_W_170_10_190.png,,Since the LHS(Left hand side) of the balance is equal to 170 + 10 and the weight on RHS(Right hand side) is equal to 190. The correct option is No,
