Question_Type,Answer_Type,Topic_Number,Variation,Question,Correct_Answer_1,Correct_Answer_2,Correct_Answer_3,Correct_Answer_4,Wrong_Answer_1,Wrong_Answer_2,Wrong_Answer_3,Time_in_seconds,Difficulty_Level,Question_IAV,ContributorMail,Solution_text,Solution_IAV
text,1,3020101,3,"Ques. The product of a certain number and five is twenty-nine, represent in equation",$5a=29$,,,,$29*(a+5)=29$,$29*(5a)=29$,$5a+a=29$,60,3,,,"Let's assume the certain number to be: $a$
Product means multiplication
Hence, the certain number $a$ is to be multiplied by $5$
Solution would be: $$5a=29$$
Coefficient of $a$ is: $5$
Constant term is: $29$
",
text,1,3020101,3,"Ques. The product of a certain number and eight is twenty-seven, represent in equation",$8x=27$,,,,$27*(x+8)=27$,$27*(8x)=27$,$8x+x=27$,60,3,,,"Let's assume the certain number to be: $x$
Product means multiplication
Hence, the certain number $x$ is to be multiplied by $8$
Solution would be: $$8x=27$$
Coefficient of $x$ is: $8$
Constant term is: $27$
",
text,1,3020101,3,"Ques. The product of a certain number and thirteen is ten, represent in equation",$13b=10$,,,,$10*(b+13)=10$,$10*(13b)=10$,$13b+b=10$,60,3,,,"Let's assume the certain number to be: $b$
Product means multiplication
Hence, the certain number $b$ is to be multiplied by $13$
Solution would be: $$13b=10$$
Coefficient of $b$ is: $13$
Constant term is: $10$
",
text,1,3020101,3,"Ques. The product of a certain number and nineteen is seven, represent in equation",$19y=7$,,,,$7*(y+19)=7$,$7*(19y)=7$,$19y+y=7$,60,3,,,"Let's assume the certain number to be: $y$
Product means multiplication
Hence, the certain number $y$ is to be multiplied by $19$
Solution would be: $$19y=7$$
Coefficient of $y$ is: $19$
Constant term is: $7$
",
text,1,3020101,3,"Ques. The product of a certain number and four is five, represent in equation",$4y=5$,,,,$5*(y+4)=5$,$5*(4y)=5$,$4y+y=5$,60,3,,,"Let's assume the certain number to be: $y$
Product means multiplication
Hence, the certain number $y$ is to be multiplied by $4$
Solution would be: $$4y=5$$
Coefficient of $y$ is: $4$
Constant term is: $5$
",
text,1,3020101,3,"Ques. The product of a certain number and fourteen is eighteen, represent in equation",$14c=18$,,,,$18*(c+14)=18$,$18*(14c)=18$,$14c+c=18$,60,3,,,"Let's assume the certain number to be: $c$
Product means multiplication
Hence, the certain number $c$ is to be multiplied by $14$
Solution would be: $$14c=18$$
Coefficient of $c$ is: $14$
Constant term is: $18$
",
text,1,3020101,3,"Ques. The product of a certain number and seven is two, represent in equation",$7y=2$,,,,$2*(y+7)=2$,$2*(7y)=2$,$7y+y=2$,60,3,,,"Let's assume the certain number to be: $y$
Product means multiplication
Hence, the certain number $y$ is to be multiplied by $7$
Solution would be: $$7y=2$$
Coefficient of $y$ is: $7$
Constant term is: $2$
",
text,1,3020101,3,"Ques. The product of a certain number and eight is twenty-five, represent in equation",$8x=25$,,,,$25*(x+8)=25$,$25*(8x)=25$,$8x+x=25$,60,3,,,"Let's assume the certain number to be: $x$
Product means multiplication
Hence, the certain number $x$ is to be multiplied by $8$
Solution would be: $$8x=25$$
Coefficient of $x$ is: $8$
Constant term is: $25$
",
text,1,3020101,3,"Ques. The product of a certain number and six is twenty-six, represent in equation",$6x=26$,,,,$26*(x+6)=26$,$26*(6x)=26$,$6x+x=26$,60,3,,,"Let's assume the certain number to be: $x$
Product means multiplication
Hence, the certain number $x$ is to be multiplied by $6$
Solution would be: $$6x=26$$
Coefficient of $x$ is: $6$
Constant term is: $26$
",
text,1,3020101,3,"Ques. The product of a certain number and twenty is ten, represent in equation",$20c=10$,,,,$10*(c+20)=10$,$10*(20c)=10$,$20c+c=10$,60,3,,,"Let's assume the certain number to be: $c$
Product means multiplication
Hence, the certain number $c$ is to be multiplied by $20$
Solution would be: $$20c=10$$
Coefficient of $c$ is: $20$
Constant term is: $10$
",
text,1,3020101,3,"Ques. The product of a certain number and seven is three, represent in equation",$7c=3$,,,,$3*(c+7)=3$,$3*(7c)=3$,$7c+c=3$,60,3,,,"Let's assume the certain number to be: $c$
Product means multiplication
Hence, the certain number $c$ is to be multiplied by $7$
Solution would be: $$7c=3$$
Coefficient of $c$ is: $7$
Constant term is: $3$
",
text,1,3020101,3,"Ques. The product of a certain number and eight is ten, represent in equation",$8c=10$,,,,$10*(c+8)=10$,$10*(8c)=10$,$8c+c=10$,60,3,,,"Let's assume the certain number to be: $c$
Product means multiplication
Hence, the certain number $c$ is to be multiplied by $8$
Solution would be: $$8c=10$$
Coefficient of $c$ is: $8$
Constant term is: $10$
",
text,1,3020101,3,"Ques. The product of a certain number and sixteen is twenty-nine, represent in equation",$16c=29$,,,,$29*(c+16)=29$,$29*(16c)=29$,$16c+c=29$,60,3,,,"Let's assume the certain number to be: $c$
Product means multiplication
Hence, the certain number $c$ is to be multiplied by $16$
Solution would be: $$16c=29$$
Coefficient of $c$ is: $16$
Constant term is: $29$
",
text,1,3020101,3,"Ques. The product of a certain number and twenty is twenty-five, represent in equation",$20x=25$,,,,$25*(x+20)=25$,$25*(20x)=25$,$20x+x=25$,60,3,,,"Let's assume the certain number to be: $x$
Product means multiplication
Hence, the certain number $x$ is to be multiplied by $20$
Solution would be: $$20x=25$$
Coefficient of $x$ is: $20$
Constant term is: $25$
",
text,1,3020101,3,"Ques. The product of a certain number and sixteen is two, represent in equation",$16a=2$,,,,$2*(a+16)=2$,$2*(16a)=2$,$16a+a=2$,60,3,,,"Let's assume the certain number to be: $a$
Product means multiplication
Hence, the certain number $a$ is to be multiplied by $16$
Solution would be: $$16a=2$$
Coefficient of $a$ is: $16$
Constant term is: $2$
",
text,1,3020101,3,"Ques. The product of a certain number and eleven is twenty-nine, represent in equation",$11b=29$,,,,$29*(b+11)=29$,$29*(11b)=29$,$11b+b=29$,60,3,,,"Let's assume the certain number to be: $b$
Product means multiplication
Hence, the certain number $b$ is to be multiplied by $11$
Solution would be: $$11b=29$$
Coefficient of $b$ is: $11$
Constant term is: $29$
",
text,1,3020101,3,"Ques. The product of a certain number and seventeen is thirteen, represent in equation",$17x=13$,,,,$13*(x+17)=13$,$13*(17x)=13$,$17x+x=13$,60,3,,,"Let's assume the certain number to be: $x$
Product means multiplication
Hence, the certain number $x$ is to be multiplied by $17$
Solution would be: $$17x=13$$
Coefficient of $x$ is: $17$
Constant term is: $13$
",
text,1,3020101,3,"Ques. The product of a certain number and two is ten, represent in equation",$2b=10$,,,,$10*(b+2)=10$,$10*(2b)=10$,$2b+b=10$,60,3,,,"Let's assume the certain number to be: $b$
Product means multiplication
Hence, the certain number $b$ is to be multiplied by $2$
Solution would be: $$2b=10$$
Coefficient of $b$ is: $2$
Constant term is: $10$
",
text,1,3020101,3,"Ques. The product of a certain number and four is six, represent in equation",$4x=6$,,,,$6*(x+4)=6$,$6*(4x)=6$,$4x+x=6$,60,3,,,"Let's assume the certain number to be: $x$
Product means multiplication
Hence, the certain number $x$ is to be multiplied by $4$
Solution would be: $$4x=6$$
Coefficient of $x$ is: $4$
Constant term is: $6$
",
text,1,3020101,3,"Ques. The product of a certain number and eighteen is seven, represent in equation",$18y=7$,,,,$7*(y+18)=7$,$7*(18y)=7$,$18y+y=7$,60,3,,,"Let's assume the certain number to be: $y$
Product means multiplication
Hence, the certain number $y$ is to be multiplied by $18$
Solution would be: $$18y=7$$
Coefficient of $y$ is: $18$
Constant term is: $7$
",
text,1,3020101,3,"Ques. The product of a certain number and six is thirty, represent in equation",$6b=30$,,,,$30*(b+6)=30$,$30*(6b)=30$,$6b+b=30$,60,3,,,"Let's assume the certain number to be: $b$
Product means multiplication
Hence, the certain number $b$ is to be multiplied by $6$
Solution would be: $$6b=30$$
Coefficient of $b$ is: $6$
Constant term is: $30$
",
text,1,3020101,3,"Ques. The product of a certain number and two is eight, represent in equation",$2a=8$,,,,$8*(a+2)=8$,$8*(2a)=8$,$2a+a=8$,60,3,,,"Let's assume the certain number to be: $a$
Product means multiplication
Hence, the certain number $a$ is to be multiplied by $2$
Solution would be: $$2a=8$$
Coefficient of $a$ is: $2$
Constant term is: $8$
",
text,1,3020101,3,"Ques. The product of a certain number and two is fifteen, represent in equation",$2a=15$,,,,$15*(a+2)=15$,$15*(2a)=15$,$2a+a=15$,60,3,,,"Let's assume the certain number to be: $a$
Product means multiplication
Hence, the certain number $a$ is to be multiplied by $2$
Solution would be: $$2a=15$$
Coefficient of $a$ is: $2$
Constant term is: $15$
",
text,1,3020101,3,"Ques. The product of a certain number and six is twelve, represent in equation",$6x=12$,,,,$12*(x+6)=12$,$12*(6x)=12$,$6x+x=12$,60,3,,,"Let's assume the certain number to be: $x$
Product means multiplication
Hence, the certain number $x$ is to be multiplied by $6$
Solution would be: $$6x=12$$
Coefficient of $x$ is: $6$
Constant term is: $12$
",
text,1,3020101,3,"Ques. The product of a certain number and nine is thirteen, represent in equation",$9y=13$,,,,$13*(y+9)=13$,$13*(9y)=13$,$9y+y=13$,60,3,,,"Let's assume the certain number to be: $y$
Product means multiplication
Hence, the certain number $y$ is to be multiplied by $9$
Solution would be: $$9y=13$$
Coefficient of $y$ is: $9$
Constant term is: $13$
",
text,1,3020101,3,"Ques. The product of a certain number and nineteen is ten, represent in equation",$19a=10$,,,,$10*(a+19)=10$,$10*(19a)=10$,$19a+a=10$,60,3,,,"Let's assume the certain number to be: $a$
Product means multiplication
Hence, the certain number $a$ is to be multiplied by $19$
Solution would be: $$19a=10$$
Coefficient of $a$ is: $19$
Constant term is: $10$
",
text,1,3020101,3,"Ques. The product of a certain number and thirteen is twenty-two, represent in equation",$13y=22$,,,,$22*(y+13)=22$,$22*(13y)=22$,$13y+y=22$,60,3,,,"Let's assume the certain number to be: $y$
Product means multiplication
Hence, the certain number $y$ is to be multiplied by $13$
Solution would be: $$13y=22$$
Coefficient of $y$ is: $13$
Constant term is: $22$
",
text,1,3020101,3,"Ques. The product of a certain number and ten is thirty, represent in equation",$10a=30$,,,,$30*(a+10)=30$,$30*(10a)=30$,$10a+a=30$,60,3,,,"Let's assume the certain number to be: $a$
Product means multiplication
Hence, the certain number $a$ is to be multiplied by $10$
Solution would be: $$10a=30$$
Coefficient of $a$ is: $10$
Constant term is: $30$
",
