Question_Type,Answer_Type,Topic_Number,Variation,Question,Correct_Answer_1,Correct_Answer_2,Correct_Answer_3,Correct_Answer_4,Wrong_Answer_1,Wrong_Answer_2,Wrong_Answer_3,Time_in_seconds,Difficulty_Level,Question_IAV,ContributorMail,Solution_text,Solution_IAV
text,1,30102,1,Which of the following is not an equation ?,$14 * 6 < 84$,,,,$30x - 14 = 21$,$6c + 5 = 27$,$8z / 26 = 15$,60,3,,,"Solution: $$14 * 6 < 84$$Equation can be defined as a mathematical statement 
in which two expressions are set equal to each other",
text,1,30102,1,Which of the following is not an equation ?,$x / 18$,,,,$22a * 29 = 28$,$25b + 23 = 22$,$21x + 24 = 16$,60,3,,,"Solution: $$x / 18$$Equation can be defined as a mathematical statement 
in which two expressions are set equal to each other",
text,1,30102,1,Which of the following is not an equation ?,$20 - 1 < 19$,,,,$30b + 25 = 24$,$30x * 8 = 25$,$30z / 16 = 29$,60,3,,,"Solution: $$20 - 1 < 19$$Equation can be defined as a mathematical statement 
in which two expressions are set equal to each other",
text,1,30102,1,Which of the following is not an equation ?,$x - 22$,,,,$18a - 20 = 25$,$21x * 30 = 30$,$30b / 11 = 16$,60,3,,,"Solution: $$x - 22$$Equation can be defined as a mathematical statement 
in which two expressions are set equal to each other",
text,1,30102,1,Which of the following is not an equation ?,$21p > 27$,,,,$26z * 16 = 15$,$26b + 17 = 18$,$19z * 7 = 30$,60,3,,,"Solution: $$21p > 27$$Equation can be defined as a mathematical statement 
in which two expressions are set equal to each other",
text,1,30102,1,Which of the following is not an equation ?,$21p < 20$,,,,$8b + 28 = 28$,$6a + 5 = 20$,$23y + 18 = 21$,60,3,,,"Solution: $$21p < 20$$Equation can be defined as a mathematical statement 
in which two expressions are set equal to each other",
text,1,30102,1,Which of the following is not an equation ?,$20 * 9 < 180$,,,,$25y + 20 = 26$,$14b * 28 = 17$,$2z + 7 = 30$,60,3,,,"Solution: $$20 * 9 < 180$$Equation can be defined as a mathematical statement 
in which two expressions are set equal to each other",
text,1,30102,1,Which of the following is not an equation ?,$30p < 23$,,,,$15y * 5 = 29$,$9x / 30 = 24$,$20a - 9 = 26$,60,3,,,"Solution: $$30p < 23$$Equation can be defined as a mathematical statement 
in which two expressions are set equal to each other",
text,1,30102,1,Which of the following is not an equation ?,$x - 8$,,,,$24b - 11 = 21$,$27c - 6 = 25$,$7c * 27 = 23$,60,3,,,"Solution: $$x - 8$$Equation can be defined as a mathematical statement 
in which two expressions are set equal to each other",
text,1,30102,1,Which of the following is not an equation ?,$x + 8$,,,,$21c + 27 = 23$,$8b * 3 = 15$,$2z + 12 = 24$,60,3,,,"Solution: $$x + 8$$Equation can be defined as a mathematical statement 
in which two expressions are set equal to each other",
text,1,30102,1,Which of the following is not an equation ?,$20 + 11 > 31$,,,,$17a + 4 = 27$,$19z + 29 = 16$,$15a + 25 = 17$,60,3,,,"Solution: $$20 + 11 > 31$$Equation can be defined as a mathematical statement 
in which two expressions are set equal to each other",
text,1,30102,1,Which of the following is not an equation ?,$28 - 8 > 20$,,,,$6x / 6 = 22$,$20z * 6 = 21$,$25c - 7 = 28$,60,3,,,"Solution: $$28 - 8 > 20$$Equation can be defined as a mathematical statement 
in which two expressions are set equal to each other",
text,1,30102,1,Which of the following is not an equation ?,$31 - 12 < 19$,,,,$24x + 10 = 27$,$19z * 24 = 28$,$19b - 17 = 15$,60,3,,,"Solution: $$31 - 12 < 19$$Equation can be defined as a mathematical statement 
in which two expressions are set equal to each other",
text,1,30102,1,Which of the following is not an equation ?,$22 + 12 > 34$,,,,$26c * 9 = 29$,$16x - 23 = 16$,$25b + 28 = 23$,60,3,,,"Solution: $$22 + 12 > 34$$Equation can be defined as a mathematical statement 
in which two expressions are set equal to each other",
