Question_Type,Answer_Type,Topic_Number,Variation,Question,Correct_Answer_1,Correct_Answer_2,Correct_Answer_3,Correct_Answer_4,Wrong_Answer_1,Wrong_Answer_2,Wrong_Answer_3,Time_in_seconds,Difficulty_Level,Question_IAV,ContributorMail,Solution_text,Solution_IAV
text,text,30102,7,Supermarket is $900$ metres from Factory. Mall is $600$ metres from Factory. Assuming Supermarket and Mall are in the same direction from Factory which of the following statement is correct?,Supermarket is nearer to Mall than Factory,,,,Mall is at same distance from Factory and Supermarket,Supermarket is at same distance from Factory and Mall,Factory is nearer to Mall than Supermarket,60,3,,,"Let the distance between Factory and Supermarket be $x$, and the distance between Factory and Mall be $y$.
Here $x=$$900$$m$ and $y=$$600$$m$.
Factory---$600$$m$--->Mall
Factory-----$900$$m$----->Supermarket
Distance between Supermarket and Mall $= $$900$$-$$600$$ = $$300$$m$    ...([distance between Factory & Supermarket] $-$ [distance between Factory & Mall])
Factory----$600$$m$---->Mall----$300$$m$---->Supermarket
As we can see that the distance between Factory and Mall is $600$$m$, and the distance between Supermarket and Mall is $300$$m$.
Since the distance between Supermarket and Mall $<$ distance between Factory and Mall
Supermarket is nearer to Mall than Factory",
text,text,30102,7,Salon is $450$ metres from Bus Stop. School is $550$ metres from Bus Stop. Assuming Salon and School are in the same direction from Bus Stop which of the following statement is correct?,School is nearer to Salon than Bus Stop,,,,Bus Stop is nearer to Salon than School,Salon is at same distance from Bus Stop and School,School is at same distance from Bus Stop and Salon,60,3,,,"Let the distance between Bus Stop and Salon be $x$, and the distance between Bus Stop and School be $y$.
Here $x=$$450$$m$ and $y=$$550$$m$.
Bus Stop---$450$$m$--->Salon
Bus Stop-----$550$$m$----->School
Distance between Salon and School $= $$550$$-$$450$$ = $$100$$m$    ...([distance between Bus Stop & School] $-$ [distance between Bus Stop & Salon])
Bus Stop----$450$$m$---->Salon----$100$$m$---->School
As we can see that the distance between Bus Stop and Salon is $450$$m$, and the distance between Salon and School is $100$$m$.
Since the distance between Salon and School $<$ distance between Bus Stop and Salon
School is nearer to Salon than Bus Stop",
text,text,30102,7,Hospital is $850$ metres from Salon. Playground is $900$ metres from Salon. Assuming Hospital and Playground are in the same direction from Salon which of the following statement is correct?,Playground is nearer to Hospital than Salon,,,,Playground is at same distance from Salon and Hospital,Hospital is at same distance from Salon and Playground,Salon is nearer to Hospital than Playground,60,3,,,"Let the distance between Salon and Hospital be $x$, and the distance between Salon and Playground be $y$.
Here $x=$$850$$m$ and $y=$$900$$m$.
Salon---$850$$m$--->Hospital
Salon-----$900$$m$----->Playground
Distance between Hospital and Playground $= $$900$$-$$850$$ = $$50$$m$    ...([distance between Salon & Playground] $-$ [distance between Salon & Hospital])
Salon----$850$$m$---->Hospital----$50$$m$---->Playground
As we can see that the distance between Salon and Hospital is $850$$m$, and the distance between Hospital and Playground is $50$$m$.
Since the distance between Hospital and Playground $<$ distance between Salon and Hospital
Playground is nearer to Hospital than Salon",
text,text,30102,7,Stationary is $600$ metres from Bus Stop. School is $800$ metres from Bus Stop. Assuming Stationary and School are in the same direction from Bus Stop which of the following statement is correct?,School is nearer to Stationary than Bus Stop,,,,Stationary is at same distance from Bus Stop and School,Bus Stop is nearer to Stationary than School,School is at same distance from Bus Stop and Stationary,60,3,,,"Let the distance between Bus Stop and Stationary be $x$, and the distance between Bus Stop and School be $y$.
Here $x=$$600$$m$ and $y=$$800$$m$.
Bus Stop---$600$$m$--->Stationary
Bus Stop-----$800$$m$----->School
Distance between Stationary and School $= $$800$$-$$600$$ = $$200$$m$    ...([distance between Bus Stop & School] $-$ [distance between Bus Stop & Stationary])
Bus Stop----$600$$m$---->Stationary----$200$$m$---->School
As we can see that the distance between Bus Stop and Stationary is $600$$m$, and the distance between Stationary and School is $200$$m$.
Since the distance between Stationary and School $<$ distance between Bus Stop and Stationary
School is nearer to Stationary than Bus Stop",
text,text,30102,7,Medicine Shop is $900$ metres from Home. Bus Stop is $50$ metres from Home. Assuming Medicine Shop and Bus Stop are in the same direction from Home which of the following statement is correct?,Home is nearer to Bus Stop than Medicine Shop,,,,Medicine Shop is nearer to Bus Stop than Home,Medicine Shop is at same distance from Home and Bus Stop,Bus Stop is at same distance from Home and Medicine Shop,60,3,,,"Let the distance between Home and Medicine Shop be $x$, and the distance between Home and Bus Stop be $y$.
Here $x=$$900$$m$ and $y=$$50$$m$.
Home---$50$$m$--->Bus Stop
Home-----$900$$m$----->Medicine Shop
Distance between Medicine Shop and Bus Stop $= $$900$$-$$50$$ = $$850$$m$    ...([distance between Home & Medicine Shop] $-$ [distance between Home & Bus Stop])
Home----$50$$m$---->Bus Stop----$850$$m$---->Medicine Shop
As we can see that the distance between Home and Bus Stop is $50$$m$, and the distance between Medicine Shop and Bus Stop is $850$$m$.
Since the distance between Home and Bus Stop $<$ distance between Medicine Shop and Bus Stop
Home is nearer to Bus Stop than Medicine Shop",
text,text,30102,7,Tuition is $600$ metres from Office. Factory is $450$ metres from Office. Assuming Tuition and Factory are in the same direction from Office which of the following statement is correct?,Tuition is nearer to Factory than Office,,,,Office is nearer to Factory than Tuition,Factory is at same distance from Office and Tuition,Tuition is at same distance from Office and Factory,60,3,,,"Let the distance between Office and Tuition be $x$, and the distance between Office and Factory be $y$.
Here $x=$$600$$m$ and $y=$$450$$m$.
Office---$450$$m$--->Factory
Office-----$600$$m$----->Tuition
Distance between Tuition and Factory $= $$600$$-$$450$$ = $$150$$m$    ...([distance between Office & Tuition] $-$ [distance between Office & Factory])
Office----$450$$m$---->Factory----$150$$m$---->Tuition
As we can see that the distance between Office and Factory is $450$$m$, and the distance between Tuition and Factory is $150$$m$.
Since the distance between Tuition and Factory $<$ distance between Office and Factory
Tuition is nearer to Factory than Office",
text,text,30102,7,Supermarket is $800$ metres from Medicine Shop. Petrol Pump is $700$ metres from Medicine Shop. Assuming Supermarket and Petrol Pump are in the same direction from Medicine Shop which of the following statement is correct?,Supermarket is nearer to Petrol Pump than Medicine Shop,,,,Supermarket is at same distance from Medicine Shop and Petrol Pump,Medicine Shop is nearer to Petrol Pump than Supermarket,Petrol Pump is at same distance from Medicine Shop and Supermarket,60,3,,,"Let the distance between Medicine Shop and Supermarket be $x$, and the distance between Medicine Shop and Petrol Pump be $y$.
Here $x=$$800$$m$ and $y=$$700$$m$.
Medicine Shop---$700$$m$--->Petrol Pump
Medicine Shop-----$800$$m$----->Supermarket
Distance between Supermarket and Petrol Pump $= $$800$$-$$700$$ = $$100$$m$    ...([distance between Medicine Shop & Supermarket] $-$ [distance between Medicine Shop & Petrol Pump])
Medicine Shop----$700$$m$---->Petrol Pump----$100$$m$---->Supermarket
As we can see that the distance between Medicine Shop and Petrol Pump is $700$$m$, and the distance between Supermarket and Petrol Pump is $100$$m$.
Since the distance between Supermarket and Petrol Pump $<$ distance between Medicine Shop and Petrol Pump
Supermarket is nearer to Petrol Pump than Medicine Shop",
text,text,30102,7,School is $300$ metres from Library. Mall is $950$ metres from Library. Assuming School and Mall are in the same direction from Library which of the following statement is correct?,Library is nearer to School than Mall,,,,Mall is at same distance from Library and School,Mall is nearer to School than Library,School is at same distance from Library and Mall,60,3,,,"Let the distance between Library and School be $x$, and the distance between Library and Mall be $y$.
Here $x=$$300$$m$ and $y=$$950$$m$.
Library---$300$$m$--->School
Library-----$950$$m$----->Mall
Distance between School and Mall $= $$950$$-$$300$$ = $$650$$m$    ...([distance between Library & Mall] $-$ [distance between Library & School])
Library----$300$$m$---->School----$650$$m$---->Mall
As we can see that the distance between Library and School is $300$$m$, and the distance between School and Mall is $650$$m$.
Since the distance between Library and School $<$ distance between School and Mall
Library is nearer to School than Mall",
text,text,30102,7,Library is $500$ metres from Supermarket. Home is $250$ metres from Supermarket. Assuming Library and Home are in the same direction from Supermarket which of the following statement is correct?,Home is at same distance from Supermarket and Library,,,,Library is nearer to Home than Supermarket,Supermarket is nearer to Home than Library,Library is at same distance from Supermarket and Home,60,3,,,"Let the distance between Supermarket and Library be $x$, and the distance between Supermarket and Home be $y$.
Here $x=$$500$$m$ and $y=$$250$$m$.
Supermarket---$250$$m$--->Home
Supermarket-----$500$$m$----->Library
Distance between Library and Home $= $$500$$-$$250$$ = $$250$$m$    ...([distance between Supermarket & Library] $-$ [distance between Supermarket & Home])
Supermarket----$250$$m$---->Home----$250$$m$---->Library
As we can see that the distance between Supermarket and Home is $250$$m$, and the distance between Library and Home is also $250$$m$.
Home is at same distance from Supermarket and Library",
text,text,30102,7,Petrol Pump is $750$ metres from Mall. Stationary is $50$ metres from Mall. Assuming Petrol Pump and Stationary are in the same direction from Mall which of the following statement is correct?,Mall is nearer to Stationary than Petrol Pump,,,,Petrol Pump is at same distance from Mall and Stationary,Stationary is at same distance from Mall and Petrol Pump,Petrol Pump is nearer to Stationary than Mall,60,3,,,"Let the distance between Mall and Petrol Pump be $x$, and the distance between Mall and Stationary be $y$.
Here $x=$$750$$m$ and $y=$$50$$m$.
Mall---$50$$m$--->Stationary
Mall-----$750$$m$----->Petrol Pump
Distance between Petrol Pump and Stationary $= $$750$$-$$50$$ = $$700$$m$    ...([distance between Mall & Petrol Pump] $-$ [distance between Mall & Stationary])
Mall----$50$$m$---->Stationary----$700$$m$---->Petrol Pump
As we can see that the distance between Mall and Stationary is $50$$m$, and the distance between Petrol Pump and Stationary is $700$$m$.
Since the distance between Mall and Stationary $<$ distance between Petrol Pump and Stationary
Mall is nearer to Stationary than Petrol Pump",
text,text,30102,7,Police Station is $150$ metres from Supermarket. Stationary is $850$ metres from Supermarket. Assuming Police Station and Stationary are in the same direction from Supermarket which of the following statement is correct?,Supermarket is nearer to Police Station than Stationary,,,,Stationary is at same distance from Supermarket and Police Station,Police Station is at same distance from Supermarket and Stationary,Stationary is nearer to Police Station than Supermarket,60,3,,,"Let the distance between Supermarket and Police Station be $x$, and the distance between Supermarket and Stationary be $y$.
Here $x=$$150$$m$ and $y=$$850$$m$.
Supermarket---$150$$m$--->Police Station
Supermarket-----$850$$m$----->Stationary
Distance between Police Station and Stationary $= $$850$$-$$150$$ = $$700$$m$    ...([distance between Supermarket & Stationary] $-$ [distance between Supermarket & Police Station])
Supermarket----$150$$m$---->Police Station----$700$$m$---->Stationary
As we can see that the distance between Supermarket and Police Station is $150$$m$, and the distance between Police Station and Stationary is $700$$m$.
Since the distance between Supermarket and Police Station $<$ distance between Police Station and Stationary
Supermarket is nearer to Police Station than Stationary",
